,Unnamed: 0,Date,Unnamed: 1,create_at,geo_tag-cityName,geo_tag-stateName,id,lang,place-country,place-full_name,text,user-description,user-followers_count,user-id,Date.1,Year,sentiment,year-month,num_crimes_per_month,keyword
0,68201,2015-11-24,0,2015-11-24T05:40:49.000Z,Inglewood,California,1503869213793992705,en,United States,"Inglewood, CA",Boutta pull up on the CEO of transphobia whos in?,HAPPY AS HELL,689.0,1.29334850922826E+18,2022-03-15,2022,Negative,2015-11,410.0,"['bisexual', 'gay']"
1,68202,2015-12-24,1,2015-12-24T11:44:10.000Z,Los Angeles,California,1503824470267494403,en,United States,"Los Angeles, CA",Someone link me the gay everyone is vague tweeting about today pls! I want to understand,"BLACK LIVES MATTER. DACA recipient. Catch me working at Eagle LA<�<<�<�",46267.0,3884508195.0,2022-03-15,2022,Negative,2015-12,364.0,['gay']
2,68203,2016-1-24,2,2016-24T19:06:21.000Z,New Orleans,Louisiana,1503526850005454848,en,United States,"New Orleans, LA","@rone9_9 Listen this upsets my soul!!! I was once profiled as hetero wearing a bandana, a white anime shirt, thee shortest shorts I own, flannel around waist while TWIRLING in the middle of a gay bar https://t.co/iDzdVyiB6l","Sometimes An Enigma. Sometimes The Life Of The Party. Always The Depressed Raccon.
Welcome All But The Fat And Chonky Ones Get The Front Row =
NSFW 18+",1429.0,289510330.0,2022-03-15,2022,Negative,2016-1,436.0,['gay']
3,68204,2016-2-24,3,2016-2-24T04:21:33.000Z,Manhattan,New York,1503579187675906050,en,United States,"Manhattan, NY",why was he chosen to be homophobic. i mean he definitely is but why https://t.co/ybcrWHiVkd,��E�',537.0,1.31969050332411E+18,2022-03-15,2022,Negative,2016-2,512.0,['homophobic']
4,68205,2016-3-24,4,2016-3-24T17:19:54.000Z,Chicago,Illinois,1503721317253664773,en,United States,"Chicago, IL","we need more queer spaces that..."" first of all, who of us has the money? im sorry gerald, unfortunately ""queer space"" i can curate is my couch","NSL <�<<�� 24 they/them
>i make-a da music, i play-a da chords>
Black trans lives are sacred
@ouxband | a @numbthot98 a",949.0,721271462.0,2022-03-15,2022,Negative,2016-3,558.0,['queer']
5,68206,2016-4-24,5,2016-4-24T07:33:45.000Z,Ballenger Creek,Maryland,1503592814990479361,en,United States,"Ballenger Creek, MD",i truly dont understand why as a straight cis woman its homophobic to want a straight cis man.,hair enthusiast. content creator. ig:missessmalcolm click the link below for hair recommendations! #houseofmalcolm #HowardU,1300.0,111505259.0,2022-03-15,2022,Negative,2016-4,562.0,['homophobic']
6,68207,2016-5-24,6,2016-5-24T12:51:58.000Z,Irvine,California,1503550534380183552,en,United States,"Irvine, CA","@One____Nation @crembrulemily I thought it would be funny, and it wasn't a strip club. It was a gay Latin dance club that also had male strippers at it.","Progressive Democrat. 21. USC Class of 2022. He/him. ���. @GavinNewsom, @VoteCottie, Sabato's Crystal Ball, Hardin alum. Trojan Democrats Sr. Advisor. YIMBY.",4827.0,8.99404385700074E+17,2022-03-15,2022,Negative,2016-5,592.0,['gay']
7,68208,2016-6-24,7,2016-6-24T03:54:41.000Z,La Follette,Tennessee,1503797462649217027,en,United States,"La Follette, TN","@AussieManGay1 I would like ve to do a gay porn with you, if the hunk has a monster covk and l ves to be the top.",I'm a 49 year old gay man looking for love and friends. I love Teddy Bear fellers who's looking for a bear cub to love.,43.0,1.41498248451787E+18,2022-03-15,2022,Positive,2016-6,542.0,['gay']
8,68209,2016-7-24,8,2016-7-24T04:39:43.000Z,Los Angeles,California,1503572617877352453,en,United States,"Los Angeles, CA","I feel like that how life should be sometimes, especially in sport. They banned trans girl from competeting in female sport cuz they think it's ""unfair"". But it's not always about equality. I can be about equity and it's necessary when the resources are scared.","Msc. Marketing Analytics '22 at @uscmarshall
O<�<�born | He/him/his. Mostly tweet about Statistics, Marketing, and random stuffs",19.0,1.39185142253521E+18,2022-03-15,2022,Negative,2016-7,481.0,['trans']
9,68210,2016-8-24,9,2016-8-24T04:25:31.000Z,Santa Monica,California,1503582379473965056,en,United States,"Santa Monica, CA",Sometimes I just stand and think and other times I take a selfie >* #timetoreflect #timetoreset #itstime #stayinthepresent #gay #livelovelaugh #lifeistooshort #gayboy #gayman #itsme #silverdaddy #californiadreamin #californiagay https://t.co/Kh4oz5JzrW,"Southern Boy from MS living in LA because CA dreamin' and forward thinking works for me. <�< IG @fabulousbakerboyd",316.0,357125816.0,2022-03-15,2022,Positive,2016-8,468.0,['gay']
10,68211,2016-9-24,10,2016-9-24T00:36:19.000Z,Brooklyn,New York,1503549164201914371,en,United States,"Brooklyn, NY",Gym is my happy space #gym #muscle #gay https://t.co/rKpzeGO1XH,Independent Seacret Direct Agent. Twitch Streamer: http://twitch.tv/0_boriman_0 Gym Rat,38.0,1.48908531529808E+18,2022-03-15,2022,Positive,2016-9,462.0,['gay']
11,68212,2016-10-24,11,2016-10-24T06:15:47.000Z,Phoenixville,Pennsylvania,1503551386348367873,en,United States,"Phoenixville, PA",Cassies advice make sure hes not gay #TheBachelor,"I should prob turn off the TV and focus on my own life - But the #90DayFiance just keeps coming!!! { Reduce, Reuse, Recycle",33.0,1.14405191590023E+18,2022-03-15,2022,Negative,2016-10,456.0,['gay']
12,68213,2016-11-24,12,2016-11-24T18:52:29.000Z,Chicago,Illinois,1503883317963276294,en,United States,"Chicago, IL",Homophobia is alive and well! https://t.co/dSOaAfrbQH,he/him | machine learning engineer | I have IBS | double pisces nightmare,1768.0,243786759.0,2022-03-15,2022,Positive,2016-11,382.0,['homophobia']
13,68214,2016-12-24,13,2016-12-24T17:25:57.000Z,Campbell,California,1503849362069225475,en,United States,"Campbell, CA","@skipper_tv I had that Duncan asshole spend several hours trying to convince me that as a gay man, it's illogical to support trans rights.","Podcaster, Streamer, DJ, Gay Frog... he/him or gn. 
Your heroes are trash, prolly.

http://twitch.tv/echoplexmedia

Pods: Intellectual Dollar Tree and The Plex",1202.0,127796286.0,2022-03-15,2022,Negative,2016-12,384.0,"['gay', 'trans']"
14,68215,2017-1–24,14,2017-1-24T21:17:10.000Z,Danbury,Connecticut,1503826380995321859,en,United States,"Danbury, CT","@IAMSteveCox I'm a gay man who is very happy with his penis.I have 2 friends who came out as Trans as adults,both wish they had had the option to have the scientific therapies available to them as children.If there are gay people,why not Trans people? Their youth was more hellish than ours.","Actor, Director, Playwright, former Bookseller (35 years). Gay, partnered, Disabled by several chronic pain conditions. Die hard Progressive activist.",77.0,276335887.0,2022-03-15,2022,Positive,2017-1,495.0,"['gay', 'trans']"
15,68216,2017-2-24,15,2017-2-24T21:57:35.000Z,Brooklyn,New York,1503580877997158405,en,United States,"Brooklyn, NY",anyone into soft feet with a deep arch? im considering some premium content for feet lovers #gay #feet #feetworship #feetfinder #toes #FootHumiliation #feetvideos https://t.co/f41vTULMGW,College student making xx content. =,14.0,1.45832450103333E+18,2022-03-15,2022,Positive,2017-2,489.0,['gay']
16,68217,2017-3-24,16,2017-3-24T15:43:06.000Z,Charlotte,North Carolina,1503567089365311491,en,United States,"Charlotte, NC",Googling in college - how do you know you are trans. Also googling are there only two genders. #lgbtq #queer #nonbinary #transmasc,"UNCC Alum. Trans. Genderqueer. <�<=Q",220.0,8.50111184800023E+17,2022-03-15,2022,Positive,2017-3,493.0,"['queer', 'trans']"
17,68218,2017-4-24,17,2017-4-24T05:34:54.000Z,Philadelphia,Pennsylvania,1503545330914279430,en,United States,"Philadelphia, PA",@big_wawa nicotine is gay as shit man fuck it,"very baller, very anarchist",528.0,59468250.0,2022-03-15,2022,Negative,2017-4,541.0,['gay']
18,68219,2017-5-24,18,2017-5-24T03:36:10.000Z,Portland,Oregon,1503732445606137856,en,United States,"Portland, OR",@swan4congress @isabellarileyus We must put National Security FIRST or an enemy country that does will crush us. How can a trans in combat keep up with hormone shots & medications while in combat? Fluctuating hormone levels cause severe emotional & mental health problems.,"WF 60, Christian, Trump supporter. Oregon DMV automatically registers illegal aliens to vote w/o verifying Citizenship; Fraud continues. I put my faith in God.",933.0,220354795.0,2022-03-15,2022,Positive,2017-5,613.0,['trans']
19,68220,2017-6-24,19,2017-6-24T04:05:44.000Z,Chicago,Illinois,1503614460749037569,en,United States,"Chicago, IL",If there's a hell there's a special place in it for any lawyer who has ever used to Gay Panic or Trans Panic Defense to get a homophobic murderer off.,"Music/Marketing/Copywriting Freelancer
@moxieonrecord
Yes I will write your bio
Proud Jewish Latina !<�<�
#BlackLivesMatter #LeftIsBest
@UIOWA/@KRUI Alumna<9",534.0,1387969560.0,2022-03-15,2022,Positive,2017-6,522.0,"['gay', 'homophobic', 'trans']"
